,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
94,94,0.031514215490899625,2023-12-18 19:30:28.356574,2023-12-18 19:30:41.614931,0 days 00:00:13.258357,0.4261522188649891,565,COMPLETE
95,95,0.03145884735586831,2023-12-18 19:30:41.615855,2023-12-18 19:30:50.850818,0 days 00:00:09.234963,0.4068653404098043,563,COMPLETE
96,96,0.031471812585802436,2023-12-18 19:30:50.851891,2023-12-18 19:31:01.181341,0 days 00:00:10.329450,0.4577032018225478,541,COMPLETE
97,97,0.031482223519140824,2023-12-18 19:31:01.182282,2023-12-18 19:31:10.151436,0 days 00:00:08.969154,0.42852119660020543,523,COMPLETE
98,98,0.03149813053958155,2023-12-18 19:31:10.152364,2023-12-18 19:31:18.883950,0 days 00:00:08.731586,0.44470093006355166,577,COMPLETE
99,99,0.03147243336686366,2023-12-18 19:31:18.884882,2023-12-18 19:31:28.636369,0 days 00:00:09.751487,0.4103564678443931,591,COMPLETE
100,100,0.03141441208474916,2023-12-18 19:31:28.637334,2023-12-18 19:31:38.536263,0 days 00:00:09.898929,0.4233399932508515,358,COMPLETE
101,101,0.031460156136322165,2023-12-18 19:31:38.537510,2023-12-18 19:31:47.833670,0 days 00:00:09.296160,0.4351651427178214,599,COMPLETE
102,102,0.0315059397280902,2023-12-18 19:31:47.834578,2023-12-18 19:31:56.774249,0 days 00:00:08.939671,0.4224301804971476,566,COMPLETE
103,103,0.03144161573889575,2023-12-18 19:31:56.775283,2023-12-18 19:32:05.764584,0 days 00:00:08.989301,0.40071370772595005,565,COMPLETE
104,104,0.03148227492139432,2023-12-18 19:32:05.765526,2023-12-18 19:32:14.328006,0 days 00:00:08.562480,0.4141771033152214,547,COMPLETE
105,105,0.03138456319155825,2023-12-18 19:32:14.328924,2023-12-18 19:32:23.057091,0 days 00:00:08.728167,0.388250383452105,559,COMPLETE
106,106,0.031463074202711744,2023-12-18 19:32:23.060936,2023-12-18 19:32:32.117413,0 days 00:00:09.056477,0.4526517135981799,578,COMPLETE
107,107,0.03147036936868564,2023-12-18 19:32:32.118342,2023-12-18 19:32:40.317456,0 days 00:00:08.199114,0.43956459087045985,555,COMPLETE
108,108,0.03147755777613313,2023-12-18 19:32:40.318378,2023-12-18 19:32:49.082492,0 days 00:00:08.764114,0.41416271422951034,534,COMPLETE
