,Fold,MAP,topK,alpha,beta,normalize_similarity
152,0,0.0015050724945989496,136,0.37314028518148074,0.9295013057658502,True
153,1,0.0014329387669046094,136,0.37314028518148074,0.9295013057658502,True
154,2,0.0013634481210661254,136,0.37314028518148074,0.9295013057658502,True
155,3,0.0015335677993620219,136,0.37314028518148074,0.9295013057658502,True
156,4,0.0013420637297546535,136,0.37314028518148074,0.9295013057658502,True
157,5,0.0014545840366989957,136,0.37314028518148074,0.9295013057658502,True
158,6,0.001535558204211361,136,0.37314028518148074,0.9295013057658502,True
159,7,0.0014798227470865578,136,0.37314028518148074,0.9295013057658502,True
160,0,0.004786940256760576,299,0.2663957124894437,0.7276395836805052,True
161,1,0.0044015081980726765,299,0.2663957124894437,0.7276395836805052,True
162,2,0.004278091539344292,299,0.2663957124894437,0.7276395836805052,True
163,3,0.004555557147314077,299,0.2663957124894437,0.7276395836805052,True
164,4,0.00429237756132037,299,0.2663957124894437,0.7276395836805052,True
165,5,0.0045404478968969365,299,0.2663957124894437,0.7276395836805052,True
166,6,0.004644169646404461,299,0.2663957124894437,0.7276395836805052,True
167,7,0.004720041906541115,299,0.2663957124894437,0.7276395836805052,True
168,0,0.022042526067642676,10,0.376372238937501,0.5680077125045245,True
169,1,0.02231360342665648,10,0.376372238937501,0.5680077125045245,True
170,2,0.02146000290841957,10,0.376372238937501,0.5680077125045245,True
171,3,0.021730854328628108,10,0.376372238937501,0.5680077125045245,True
172,4,0.02146976726865921,10,0.376372238937501,0.5680077125045245,True
173,5,0.022244316646479644,10,0.376372238937501,0.5680077125045245,True
174,6,0.02201084214642027,10,0.376372238937501,0.5680077125045245,True
175,7,0.021569481775896893,10,0.376372238937501,0.5680077125045245,True
176,0,0.024534934659525227,161,0.37609057033040355,0.2955025389782402,False
177,1,0.02359905931812457,161,0.37609057033040355,0.2955025389782402,False
178,2,0.024183457257297213,161,0.37609057033040355,0.2955025389782402,False
179,3,0.024184247639422188,161,0.37609057033040355,0.2955025389782402,False
180,4,0.023281829619805173,161,0.37609057033040355,0.2955025389782402,False
181,5,0.024316618662953555,161,0.37609057033040355,0.2955025389782402,False
182,6,0.023900086554287936,161,0.37609057033040355,0.2955025389782402,False
183,7,0.02426285075679593,161,0.37609057033040355,0.2955025389782402,False
184,0,0.0007712783978543923,105,0.36920935066159866,1.3494221769329695,True
185,1,0.0006886246292518129,105,0.36920935066159866,1.3494221769329695,True
186,2,0.0007018577529929841,105,0.36920935066159866,1.3494221769329695,True
187,3,0.0006937042767367669,105,0.36920935066159866,1.3494221769329695,True
188,4,0.0006516659773622925,105,0.36920935066159866,1.3494221769329695,True
189,5,0.0007556849430472494,105,0.36920935066159866,1.3494221769329695,True
190,6,0.000730291951239507,105,0.36920935066159866,1.3494221769329695,True
191,7,0.0007073952813044075,105,0.36920935066159866,1.3494221769329695,True
192,0,0.02049535218303204,5,0.37644615066224263,0.0446474832260674,True
193,1,0.0199646213890196,5,0.37644615066224263,0.0446474832260674,True
194,2,0.020107244019562244,5,0.37644615066224263,0.0446474832260674,True
195,3,0.020258760242965988,5,0.37644615066224263,0.0446474832260674,True
196,4,0.020114206642358717,5,0.37644615066224263,0.0446474832260674,True
197,5,0.020198273614806736,5,0.37644615066224263,0.0446474832260674,True
198,6,0.020439428552509582,5,0.37644615066224263,0.0446474832260674,True
199,7,0.019604731404170926,5,0.37644615066224263,0.0446474832260674,True
200,0,0.025456528453401336,151,0.26966997203352916,0.4775890910951983,True
201,1,0.02463939339176531,151,0.26966997203352916,0.4775890910951983,True
202,2,0.025142627156419267,151,0.26966997203352916,0.4775890910951983,True
203,3,0.025326421917878008,151,0.26966997203352916,0.4775890910951983,True
204,4,0.02503173177027631,151,0.26966997203352916,0.4775890910951983,True
205,5,0.02545049179963067,151,0.26966997203352916,0.4775890910951983,True
206,6,0.02541355686096454,151,0.26966997203352916,0.4775890910951983,True
207,7,0.025176943141815056,151,0.26966997203352916,0.4775890910951983,True
208,0,0.021616997505511402,300,0.3511232943965156,0.20309207027562712,False
209,1,0.02065272685191789,300,0.3511232943965156,0.20309207027562712,False
210,2,0.02115303819197472,300,0.3511232943965156,0.20309207027562712,False
211,3,0.021114211060811603,300,0.3511232943965156,0.20309207027562712,False
212,4,0.02050457872410549,300,0.3511232943965156,0.20309207027562712,False
213,5,0.021342311776169198,300,0.3511232943965156,0.20309207027562712,False
214,6,0.020725869641989993,300,0.3511232943965156,0.20309207027562712,False
215,7,0.02119026173319611,300,0.3511232943965156,0.20309207027562712,False
216,0,0.029284260611819563,154,0.37644615066224263,0.11314311053962911,True
217,1,0.0279598030496863,154,0.37644615066224263,0.11314311053962911,True
218,2,0.028133221422407036,154,0.37644615066224263,0.11314311053962911,True
219,3,0.02909514895676178,154,0.37644615066224263,0.11314311053962911,True
